Link,Project Name
https://thecleverprogrammer.com/2024/03/11/multivariate-time-series-forecasting-using-python/,Multivariate Time Series Forecasting
https://thecleverprogrammer.com/2024/04/01/classification-on-imbalanced-data-using-python/,Classification on Highly Imbalanced Data
https://thecleverprogrammer.com/2024/02/19/compare-multiple-machine-learning-models/,Compare Multiple ML Models
https://thecleverprogrammer.com/2024/03/04/eda-for-feature-selection-using-python/,EDA for Feature Selection
https://thecleverprogrammer.com/2024/01/01/analytics-dashboard-using-python/,Build An Analytics Dashboard
https://thecleverprogrammer.com/2024/01/22/text-generation-model-using-python/,Text Generation Model
https://thecleverprogrammer.com/2024/01/08/car-insurance-modelling-using-python/,Car Insurance Modelling
https://thecleverprogrammer.com/2023/12/04/app-reviews-sentiment-analysis-using-python/,App Reviews Sentiment Analysis
https://thecleverprogrammer.com/2023/11/27/cohort-analysis-using-python/,Cohort Analysis
https://thecleverprogrammer.com/2023/12/11/real-estate-price-prediction-using-python/,Real Estate Price Prediction
https://thecleverprogrammer.com/2023/10/23/ads-ctr-forecasting-using-python/,Ads CTR Forecasting
https://thecleverprogrammer.com/2023/10/09/stock-market-comparison-analysis-using-python/,Stock Market Comparison Analysis
https://thecleverprogrammer.com/2023/08/07/netflix-subscriptions-forecasting-using-python/,Netflix Subscriptions Forecasting
https://thecleverprogrammer.com/2023/11/20/search-queries-anomaly-detection-using-python/,Search Queries Anomaly Detection
https://thecleverprogrammer.com/2023/10/02/text-analysis-using-python/,Text Analysis
https://thecleverprogrammer.com/2023/11/06/customer-behaviour-analysis-using-python/,Consumer Behaviour Analysis
https://thecleverprogrammer.com/2023/09/18/air-quality-index-analysis-using-python/,Air Quality Index Analysis
https://thecleverprogrammer.com/2023/10/16/market-basket-analysis-using-python/,Market Basket Analysis
https://thecleverprogrammer.com/2023/10/30/book-recommendation-system-with-python/,Book Recommendation System
https://thecleverprogrammer.com/2023/09/04/fitness-watch-data-analysis-using-python/,Fitness Watch Data Analysis
https://thecleverprogrammer.com/2023/08/28/demand-forecasting-and-inventory-optimization-using-python/,Demand Forecasting & Inventory Optimization
https://thecleverprogrammer.com/2023/09/25/customer-acquisition-cost-analysis-using-python/,Customer Acquisition Cost Analysis
https://thecleverprogrammer.com/2023/09/11/dating-recommendations-using-python/,Dating Recommendations
https://thecleverprogrammer.com/2023/08/21/anomaly-detection-in-transactions-using-python/,Anomaly Detection in Transactions
https://thecleverprogrammer.com/2023/07/03/credit-scoring-and-segmentation-using-python/,Credit Scoring & Segmentation
https://thecleverprogrammer.com/2023/07/17/next-word-prediction-model-using-python/,Next Word Prediction Model
https://thecleverprogrammer.com/2023/06/26/dynamic-pricing-strategy-using-python/,Dynamic Pricing Strategy
https://thecleverprogrammer.com/2023/08/14/web-data-etl-pipeline-using-python/,Web Data ETL Pipeline
https://thecleverprogrammer.com/2023/08/28/demand-forecasting-and-inventory-optimization-using-python/,Demand Forecasting & Inventory Optimization
https://thecleverprogrammer.com/2023/07/24/a-b-testing-of-themes-using-python/,A/B Testing of Themes
https://thecleverprogrammer.com/2023/06/19/data-preprocessing-pipeline-using-python/,Data Preprocessing Pipeline
https://thecleverprogrammer.com/2023/07/10/user-engagement-analysis-using-python/,User Engagement Analysis
https://thecleverprogrammer.com/2023/06/12/rfm-analysis-using-python/,RFM Analysis
https://thecleverprogrammer.com/2023/05/08/stock-market-performance-analysis-using-python/,Stock Market Performance Analysis
https://thecleverprogrammer.com/2023/06/05/hybrid-recommendation-system-using-python/,Hybrid Recommendation System
https://thecleverprogrammer.com/2023/05/22/b2b-courier-charges-accuracy-analysis-using-python/,B2B Courier Charges Accuracy Analysis
https://thecleverprogrammer.com/2023/05/29/currency-exchange-rate-forecasting-using-python/,Currency Exchange Rate Forecasting
https://thecleverprogrammer.com/2023/04/24/instagram-reach-forecasting-using-python/,Instagram Reach Analysis & Forecasting
https://thecleverprogrammer.com/2023/04/17/retail-price-optimization-using-python/,Retail Price Optimization
https://thecleverprogrammer.com/2023/05/15/loan-approval-prediction-using-python/,Loan Approval Prediction
https://thecleverprogrammer.com/2023/04/03/supply-chain-analysis-using-python/,Supply Chain Analysis
https://thecleverprogrammer.com/2023/03/27/end-to-end-chatbot-using-python/,End to End Chatbot
https://thecleverprogrammer.com/2023/04/10/store-sales-and-profit-analysis-using-python/,Store Sales & Profit Analysis
https://thecleverprogrammer.com/2023/05/01/customer-lifetime-value-analysis-using-python/,Customer Lifetime Value Analysis
